Actor Loss,Critic Loss
-2.4135325,0.13524571
-2.5505776,0.25969642
-2.6428692,0.1015688
-2.8376906,0.1781593
-2.9982562,0.09666496
-2.8836823,0.20731081
-2.6107478,0.22047277
-2.3790638,0.19514889
-2.3854675,0.19092055
-2.542015,0.22248602
-2.6288548,0.37975734
-2.952274,0.102916956
-2.8938684,0.22167946
-2.8603888,0.2571181
-2.6258085,0.12899068
-2.4805262,0.24755223
-2.628212,0.37238112
-2.8873692,0.16257644
-2.9245465,0.21293525
-2.5669887,0.20564583
-2.6865344,0.11641683
-2.6234307,0.16614856
-2.7268922,0.16316897
-2.8244696,0.27989292
-2.8268497,0.20904225
-2.7071915,0.16999306
-2.717464,0.27266848
-2.7593882,0.25576743
-2.88708,0.15196596
-3.0084124,0.3337867
-2.8839831,0.23884991
-2.603971,0.1883482
-2.7467284,0.17592746
-2.7729225,0.21200731
-2.9698393,0.1573139
-3.0699542,0.34114727
-2.8095317,0.22389962
-2.5926242,0.12897414
-2.5007153,0.3873692
-2.667325,0.40920264
-2.8583577,0.2510638
-3.1734962,0.16650338
-2.8236268,0.37607598
-2.5204902,0.17801464
-2.6607676,0.12181597
-2.8363004,0.30188054
-3.088062,0.21032886
-3.1133938,0.22092938
-3.0347776,0.27029267
-2.8500388,0.24957484
-2.8481107,0.1280936
-2.786295,0.19622052
-2.7988148,0.15204512
-2.8187814,0.2645902
-2.9597201,0.14832565
-3.0069175,0.099537805
-3.0840168,0.17822374
-2.8887558,0.10201889
-2.9660707,0.34512305
-2.7623181,0.120718345
-2.7915254,0.25759953
-2.9987252,0.14600432
-2.9043555,0.18618196
-2.8147118,0.1914299
-3.0534234,0.13799894
-2.9570627,0.18285526
-2.9003186,0.14654016
-2.9011807,0.20966941
-3.0099912,0.19153345
-2.9830508,0.110627145
-2.7397544,0.14869803
-2.7860038,0.33619153
-2.9495723,0.26607335
-2.9676647,0.09621025
-2.8832502,0.15689833
-2.9993804,0.23854338
-3.0755305,0.2548236
-2.9299083,0.096398205
-2.8333626,0.17129025
-2.773683,0.24743219
-3.146628,0.096891545
