Actor Loss,Critic Loss
-1.5657408,0.0727938
-1.6226242,0.20700014
-1.7993944,0.1422213
-1.8351662,0.17098027
-1.7292035,0.18289287
-1.6983219,0.23355407
-1.6677333,0.16370139
-1.633244,0.10661133
-1.6267734,0.1253533
-1.8448036,0.2355342
-1.7811712,0.13393648
-1.6574131,0.085397966
-1.6382073,0.17984056
-1.5738068,0.08374385
-1.7347662,0.1253053
-1.901782,0.093096435
-1.7956988,0.19790098
-1.6227734,0.07374005
-1.5179378,0.0704236
-1.8513951,0.36953932
-1.9883032,0.081221305
-1.7489388,0.3050245
-1.4542801,0.06285048
-1.6624304,0.23804599
-1.9670436,0.22115056
-1.8876843,0.14171124
-1.7506385,0.12412079
-1.6210771,0.09677268
-1.5591924,0.3203817
-1.7249045,0.054633968
-1.7920363,0.10349535
-1.7617803,0.08361021
-1.7182871,0.08129294
-1.7234843,0.1380087
-1.7044641,0.05434785
-1.7930293,0.2304308
-1.7910666,0.11676635
-1.7096281,0.060759343
-1.5977345,0.04590054
-1.6814481,0.24325514
-1.7783585,0.06333357
-1.9364552,0.18511495
-1.7240367,0.23687088
-1.550245,0.12550154
-1.5395701,0.14015295
-1.6742098,0.053059086
-1.917759,0.11150354
-1.8857006,0.08364174
-1.6956359,0.08950975
-1.499377,0.05981525
-1.7167382,0.2270191
-1.8883319,0.113837376
-1.8150721,0.057845768
-1.7789522,0.14146625
-1.8189371,0.29516977
-1.8789918,0.16656321
-1.9064274,0.11461443
-1.7211752,0.09126236
-1.8090729,0.0817136
-1.7846522,0.24025759
-1.8354023,0.12368389
-1.8555863,0.11333236
-1.959456,0.10571935
-1.7732241,0.12021056
-1.5150595,0.04852122
-1.6596907,0.13877966
-2.1127818,0.12023197
-2.0603323,0.1214865
-1.7391012,0.31073737
-1.4726789,0.09913163
-1.5877078,0.16022614
-1.7905934,0.06591667
-1.8790805,0.09124924
-1.8699188,0.12841977
-1.7763969,0.07024686
-1.9267218,0.15589777
-1.9796156,0.12313
-1.9759388,0.12062514
-1.6999222,0.07594009
-1.5122454,0.18495876
